Stnr;Dato;RR;TAM;TAN;TAX
25840;01.01.1969;NA;NA;NA;NA
25840;02.01.1969;NA;NA;NA;NA
25840;03.01.1969;NA;NA;NA;NA
25840;04.01.1969;NA;NA;NA;NA
25840;05.01.1969;NA;NA;NA;NA
25840;06.01.1969;NA;NA;NA;NA
25840;07.01.1969;NA;NA;NA;NA
25840;08.01.1969;NA;NA;NA;NA
25840;09.01.1969;NA;NA;NA;NA
25840;10.01.1969;NA;NA;NA;NA
25840;11.01.1969;NA;NA;NA;NA
25840;12.01.1969;NA;NA;NA;NA
25840;13.01.1969;NA;NA;NA;NA
25840;14.01.1969;NA;NA;NA;NA
25840;15.01.1969;NA;NA;NA;NA
25840;16.01.1969;NA;NA;NA;NA
25840;17.01.1969;NA;NA;NA;NA
25840;18.01.1969;NA;NA;NA;NA
25840;19.01.1969;NA;NA;NA;NA
25840;20.01.1969;NA;NA;NA;NA
25840;21.01.1969;NA;NA;NA;NA
25840;22.01.1969;NA;NA;NA;NA
25840;23.01.1969;NA;NA;NA;NA
25840;24.01.1969;NA;NA;NA;NA
25840;25.01.1969;NA;NA;NA;NA
25840;26.01.1969;NA;NA;NA;NA
25840;27.01.1969;NA;NA;NA;NA
25840;28.01.1969;NA;NA;NA;NA
25840;29.01.1969;NA;NA;NA;NA
25840;30.01.1969;NA;NA;NA;NA
25840;31.01.1969;NA;NA;NA;NA
25840;01.02.1969;NA;NA;NA;NA
25840;02.02.1969;NA;NA;NA;NA
25840;03.02.1969;NA;NA;NA;NA
25840;04.02.1969;NA;NA;NA;NA
25840;05.02.1969;NA;NA;NA;NA
25840;06.02.1969;NA;NA;NA;NA
25840;07.02.1969;NA;NA;NA;NA
25840;08.02.1969;NA;NA;NA;NA
25840;09.02.1969;NA;NA;NA;NA
25840;10.02.1969;NA;NA;NA;NA
25840;11.02.1969;NA;NA;NA;NA
25840;12.02.1969;NA;NA;NA;NA
25840;13.02.1969;NA;NA;NA;NA
25840;14.02.1969;NA;NA;NA;NA
25840;15.02.1969;NA;NA;NA;NA
25840;16.02.1969;NA;NA;NA;NA
25840;17.02.1969;NA;NA;NA;NA
25840;18.02.1969;NA;NA;NA;NA
25840;19.02.1969;NA;NA;NA;NA
25840;20.02.1969;NA;NA;NA;NA
25840;21.02.1969;NA;NA;NA;NA
25840;22.02.1969;NA;NA;NA;NA
25840;23.02.1969;NA;NA;NA;NA
25840;24.02.1969;NA;NA;NA;NA
25840;25.02.1969;NA;NA;NA;NA
25840;26.02.1969;NA;NA;NA;NA
25840;27.02.1969;NA;NA;NA;NA
25840;28.02.1969;NA;NA;NA;NA
25840;01.03.1969;NA;NA;NA;NA
25840;02.03.1969;NA;NA;NA;NA
25840;03.03.1969;NA;NA;NA;NA
25840;04.03.1969;NA;NA;NA;NA
25840;05.03.1969;NA;NA;NA;NA
25840;06.03.1969;NA;NA;NA;NA
25840;07.03.1969;NA;NA;NA;NA
25840;08.03.1969;NA;NA;NA;NA
25840;09.03.1969;NA;NA;NA;NA
25840;10.03.1969;NA;NA;NA;NA
25840;11.03.1969;NA;NA;NA;NA
25840;12.03.1969;NA;NA;NA;NA
25840;13.03.1969;NA;NA;NA;NA
25840;14.03.1969;NA;NA;NA;NA
25840;15.03.1969;NA;NA;NA;NA
25840;16.03.1969;NA;NA;NA;NA
25840;17.03.1969;NA;NA;NA;NA
25840;18.03.1969;NA;NA;NA;NA
25840;19.03.1969;NA;NA;NA;NA
25840;20.03.1969;NA;NA;NA;NA
25840;21.03.1969;NA;NA;NA;NA
25840;22.03.1969;NA;NA;NA;NA
25840;23.03.1969;NA;NA;NA;NA
25840;24.03.1969;NA;NA;NA;NA
25840;25.03.1969;NA;NA;NA;NA
25840;26.03.1969;NA;NA;NA;NA
25840;27.03.1969;NA;NA;NA;NA
25840;28.03.1969;NA;NA;NA;NA
25840;29.03.1969;NA;NA;NA;NA
25840;30.03.1969;NA;NA;NA;NA
25840;31.03.1969;NA;NA;NA;NA
25840;01.04.1969;NA;NA;NA;NA
25840;02.04.1969;NA;NA;NA;NA
25840;03.04.1969;NA;NA;NA;NA
25840;04.04.1969;NA;NA;NA;NA
25840;05.04.1969;NA;NA;NA;NA
25840;06.04.1969;NA;NA;NA;NA
25840;07.04.1969;NA;NA;NA;NA
25840;08.04.1969;NA;NA;NA;NA
25840;09.04.1969;NA;NA;NA;NA
25840;10.04.1969;NA;NA;NA;NA
25840;11.04.1969;NA;NA;NA;NA
25840;12.04.1969;NA;NA;NA;NA
25840;13.04.1969;NA;NA;NA;NA
25840;14.04.1969;NA;NA;NA;NA
25840;15.04.1969;NA;NA;NA;NA
25840;16.04.1969;NA;NA;NA;NA
25840;17.04.1969;NA;NA;NA;NA
25840;18.04.1969;NA;NA;NA;NA
25840;19.04.1969;NA;NA;NA;NA
25840;20.04.1969;NA;NA;NA;NA
25840;21.04.1969;NA;NA;NA;NA
25840;22.04.1969;NA;NA;NA;NA
25840;23.04.1969;NA;NA;NA;NA
25840;24.04.1969;NA;NA;NA;NA
25840;25.04.1969;NA;NA;NA;NA
25840;26.04.1969;NA;NA;NA;NA
25840;27.04.1969;NA;NA;NA;NA
25840;28.04.1969;NA;NA;NA;NA
25840;29.04.1969;NA;NA;NA;NA
25840;30.04.1969;NA;NA;NA;NA
25840;01.05.1969;NA;NA;NA;NA
25840;02.05.1969;NA;NA;NA;NA
25840;03.05.1969;NA;NA;NA;NA
25840;04.05.1969;NA;NA;NA;NA
25840;05.05.1969;NA;NA;NA;NA
25840;06.05.1969;NA;NA;NA;NA
25840;07.05.1969;NA;NA;NA;NA
25840;08.05.1969;NA;NA;NA;NA
25840;09.05.1969;NA;NA;NA;NA
25840;10.05.1969;NA;NA;NA;NA
25840;11.05.1969;NA;NA;NA;NA
25840;12.05.1969;NA;NA;NA;NA
25840;13.05.1969;NA;NA;NA;NA
25840;14.05.1969;NA;NA;NA;NA
25840;15.05.1969;NA;NA;NA;NA
25840;16.05.1969;NA;NA;NA;NA
25840;17.05.1969;NA;NA;NA;NA
25840;18.05.1969;NA;NA;NA;NA
25840;19.05.1969;NA;NA;NA;NA
25840;20.05.1969;NA;NA;NA;NA
25840;21.05.1969;NA;NA;NA;NA
25840;22.05.1969;NA;NA;NA;NA
25840;23.05.1969;NA;NA;NA;NA
25840;24.05.1969;NA;NA;NA;NA
25840;25.05.1969;NA;NA;NA;NA
25840;26.05.1969;NA;NA;NA;NA
25840;27.05.1969;NA;NA;NA;NA
25840;28.05.1969;NA;NA;NA;NA
25840;29.05.1969;NA;NA;NA;NA
25840;30.05.1969;NA;NA;NA;NA
25840;31.05.1969;NA;NA;NA;NA
25840;01.06.1969;NA;NA;NA;NA
25840;02.06.1969;NA;NA;NA;NA
25840;03.06.1969;NA;NA;NA;NA
25840;04.06.1969;NA;NA;NA;NA
25840;05.06.1969;NA;NA;NA;NA
25840;06.06.1969;NA;NA;NA;NA
25840;07.06.1969;NA;NA;NA;NA
25840;08.06.1969;NA;NA;NA;NA
25840;09.06.1969;NA;NA;NA;NA
25840;10.06.1969;NA;NA;NA;NA
25840;11.06.1969;NA;NA;NA;NA
25840;12.06.1969;NA;NA;NA;NA
25840;13.06.1969;NA;NA;NA;NA
25840;14.06.1969;NA;NA;NA;NA
25840;15.06.1969;NA;NA;NA;NA
25840;16.06.1969;NA;NA;NA;NA
25840;17.06.1969;NA;NA;NA;NA
25840;18.06.1969;NA;NA;NA;NA
25840;19.06.1969;NA;NA;NA;NA
25840;20.06.1969;NA;NA;NA;NA
25840;21.06.1969;NA;NA;NA;NA
25840;22.06.1969;NA;NA;NA;NA
25840;23.06.1969;NA;NA;NA;NA
25840;24.06.1969;NA;NA;NA;NA
25840;25.06.1969;NA;NA;NA;NA
25840;26.06.1969;NA;NA;NA;NA
25840;27.06.1969;NA;NA;NA;NA
25840;28.06.1969;NA;NA;NA;NA
25840;29.06.1969;NA;NA;NA;NA
25840;30.06.1969;NA;NA;NA;NA
25840;01.07.1969;NA;NA;NA;NA
25840;02.07.1969;NA;NA;NA;NA
25840;03.07.1969;NA;NA;NA;NA
25840;04.07.1969;NA;NA;NA;NA
25840;05.07.1969;NA;NA;NA;NA
25840;06.07.1969;NA;NA;NA;NA
25840;07.07.1969;NA;NA;NA;NA
25840;08.07.1969;NA;NA;NA;NA
25840;09.07.1969;NA;NA;NA;NA
25840;10.07.1969;NA;NA;NA;NA
25840;11.07.1969;NA;NA;NA;NA
25840;12.07.1969;NA;NA;NA;NA
25840;13.07.1969;NA;NA;NA;NA
25840;14.07.1969;NA;NA;NA;NA
25840;15.07.1969;NA;NA;NA;NA
25840;16.07.1969;NA;NA;NA;NA
25840;17.07.1969;NA;NA;NA;NA
25840;18.07.1969;NA;NA;NA;NA
25840;19.07.1969;NA;NA;NA;NA
25840;20.07.1969;NA;NA;NA;NA
25840;21.07.1969;NA;NA;NA;NA
25840;22.07.1969;NA;NA;NA;NA
25840;23.07.1969;NA;NA;NA;NA
25840;24.07.1969;NA;NA;NA;NA
25840;25.07.1969;NA;NA;NA;NA
25840;26.07.1969;NA;NA;NA;NA
25840;27.07.1969;NA;NA;NA;NA
25840;28.07.1969;NA;NA;NA;NA
25840;29.07.1969;NA;NA;NA;NA
25840;30.07.1969;NA;NA;NA;NA
25840;31.07.1969;NA;NA;NA;NA
25840;01.08.1969;NA;NA;NA;NA
25840;02.08.1969;NA;NA;NA;NA
25840;03.08.1969;NA;NA;NA;NA
25840;04.08.1969;NA;NA;NA;NA
25840;05.08.1969;NA;NA;NA;NA
25840;06.08.1969;NA;NA;NA;NA
25840;07.08.1969;NA;NA;NA;NA
25840;08.08.1969;NA;NA;NA;NA
25840;09.08.1969;NA;NA;NA;NA
25840;10.08.1969;NA;NA;NA;NA
25840;11.08.1969;NA;NA;NA;NA
25840;12.08.1969;NA;NA;NA;NA
25840;13.08.1969;NA;NA;NA;NA
25840;14.08.1969;NA;NA;NA;NA
25840;15.08.1969;NA;NA;NA;NA
25840;16.08.1969;NA;NA;NA;NA
25840;17.08.1969;NA;NA;NA;NA
25840;18.08.1969;NA;NA;NA;NA
25840;19.08.1969;NA;NA;NA;NA
25840;20.08.1969;NA;NA;NA;NA
25840;21.08.1969;NA;NA;NA;NA
25840;22.08.1969;NA;NA;NA;NA
25840;23.08.1969;NA;NA;NA;NA
25840;24.08.1969;NA;NA;NA;NA
25840;25.08.1969;NA;NA;NA;NA
25840;26.08.1969;NA;NA;NA;NA
25840;27.08.1969;NA;NA;NA;NA
25840;28.08.1969;NA;NA;NA;NA
25840;29.08.1969;NA;NA;NA;NA
25840;30.08.1969;NA;NA;NA;NA
25840;31.08.1969;NA;NA;NA;NA
25840;01.09.1969;NA;NA;NA;NA
25840;02.09.1969;NA;NA;NA;NA
25840;03.09.1969;NA;NA;NA;NA
25840;04.09.1969;NA;NA;NA;NA
25840;05.09.1969;NA;NA;NA;NA
25840;06.09.1969;NA;NA;NA;NA
