Station.name;Station.ID;Date;TAM;TAN;TAX;RR
Finse;SN25840;01.11.1969;-3.7;-11.9;1.3;-
Finse;SN25840;02.11.1969;-6.6;-8;-5.8;18.4
Finse;SN25840;03.11.1969;-6;-8;-4;7.7
Finse;SN25840;04.11.1969;-6.8;-10.5;-4.6;8.9
Finse;SN25840;05.11.1969;-17.1;-21;-8;0
Finse;SN25840;06.11.1969;-5.8;-18;-1.9;0
Finse;SN25840;07.11.1969;-5.8;-18;-1;4
Finse;SN25840;08.11.1969;-4.6;-10.6;-2.1;2.6
Finse;SN25840;09.11.1969;-5.2;-10.2;-1.8;2.9
Finse;SN25840;10.11.1969;-9.1;-12.8;-5;1.7
Finse;SN25840;11.11.1969;-4.9;-7.1;-4;0.2
Finse;SN25840;12.11.1969;-4.1;-6.5;-0.9;6.8
Finse;SN25840;13.11.1969;-4.2;-6;-3.2;12.6
Finse;SN25840;14.11.1969;-6.2;-8.5;-4;3.6
Finse;SN25840;15.11.1969;-5.1;-12.5;-3.3;0.9
Finse;SN25840;16.11.1969;-3.6;-5.4;-2.2;0.6
Finse;SN25840;17.11.1969;-11;-17;-4.8;1.2
Finse;SN25840;18.11.1969;-7.2;-16.8;-3.4;0
Finse;SN25840;19.11.1969;-4.9;-6;-3.9;4
Finse;SN25840;20.11.1969;-5.3;-6.6;-2;5.1
Finse;SN25840;21.11.1969;-6.6;-7.6;-5;0.3
Finse;SN25840;22.11.1969;-12.9;-17.5;-6.3;0.1
Finse;SN25840;23.11.1969;-14.4;-18;-9.6;0
Finse;SN25840;24.11.1969;-11.5;-13.9;-9.6;0.1
Finse;SN25840;25.11.1969;-21.6;-25.1;-11.4;0.7
Finse;SN25840;26.11.1969;-20.8;-29;-11.5;0
Finse;SN25840;27.11.1969;-7.2;-12.7;-5.1;0.8
Finse;SN25840;28.11.1969;-11.8;-19;-7.4;3.6
Finse;SN25840;29.11.1969;-11.9;-13.9;-8.7;0
Finse;SN25840;30.11.1969;-13.2;-20.1;-8.1;0
Finse;SN25840;01.12.1969;-3.3;-8.3;-2.3;1.1
Finse;SN25840;02.12.1969;-9.6;-12;-2.9;4.2
Finse;SN25840;03.12.1969;-12.7;-16.9;-10.8;0.5
Finse;SN25840;04.12.1969;-11.6;-15;-9.3;0.2
Finse;SN25840;05.12.1969;-21.4;-27.1;-12.1;0
Finse;SN25840;06.12.1969;-22.8;-28;-15.4;0
Finse;SN25840;07.12.1969;-10.3;-18;-8.6;0
Finse;SN25840;08.12.1969;-9.2;-12.5;-5.5;6.1
Finse;SN25840;09.12.1969;-2;-11;0.8;1.2
Finse;SN25840;10.12.1969;0.1;-2;2.5;0.5
Finse;SN25840;11.12.1969;-3.1;-5;-0.9;0
Finse;SN25840;12.12.1969;-5.2;-12.9;-3.6;1.8
Finse;SN25840;13.12.1969;-7.5;-8.5;-2.6;3.8
Finse;SN25840;14.12.1969;-9.4;-14.1;-6.6;0.6
Finse;SN25840;15.12.1969;-10;-11.1;-9.1;0.8
Finse;SN25840;16.12.1969;-13.2;-17.6;-10.1;0.3
Finse;SN25840;17.12.1969;-14.5;-17.8;-11.9;0.1
Finse;SN25840;18.12.1969;-15.6;-17;-13.2;0.1
Finse;SN25840;19.12.1969;-17.7;-20.5;-16;0
Finse;SN25840;20.12.1969;-17;-22;-15.4;0
Finse;SN25840;21.12.1969;-15.4;-19.1;-13.6;0
Finse;SN25840;22.12.1969;-12;-16;-9.6;0.9
Finse;SN25840;23.12.1969;-9;-10.6;-7.5;5.4
Finse;SN25840;24.12.1969;-6.2;-8.5;-3.9;1.6
Finse;SN25840;25.12.1969;-10.1;-12.8;-7;0
Finse;SN25840;26.12.1969;-14.8;-21.8;-11.3;0.1
Finse;SN25840;27.12.1969;-5.2;-15;-2.9;0
Finse;SN25840;28.12.1969;-3.2;-5.4;-1.8;0.7
Finse;SN25840;29.12.1969;-2.1;-2.7;-1.1;0
Finse;SN25840;30.12.1969;-7.3;-11.5;-1.2;0.1
Finse;SN25840;31.12.1969;-5.3;-11.6;-3;0.1
Finse;SN25840;01.01.1970;-8.2;-10;-3.9;0.7
Finse;SN25840;02.01.1970;-15.4;-17.5;-7.4;1.2
Finse;SN25840;03.01.1970;-10.9;-16.3;-10;0.7
Finse;SN25840;04.01.1970;-16.3;-20.5;-10;1.3
Finse;SN25840;05.01.1970;-11.4;-19;-9.5;0
Finse;SN25840;06.01.1970;-14.6;-22.5;-10;0.2
Finse;SN25840;07.01.1970;-10.3;-20;-8.4;0.3
Finse;SN25840;08.01.1970;-10;-14.1;-7.2;0.4
Finse;SN25840;09.01.1970;-12;-16.9;-8.1;0
