Navn;Stasjon;Year;TAM_july;TAN_july;TAX_july
Finse;SN25840;1970;5.4;0.4;17
Finse;SN25840;1971;6.7;0;18.7
Finse;SN25840;1972;9.3;0.5;19.3
Finse;SN25840;1973;8.6;1.2;17.5
Finse;SN25840;1974;4.7;0.6;14.2
Finse;SN25840;1975;8.2;0.2;19.2
Finse;SN25840;1976;7.3;0;17.8
Finse;SN25840;1977;7.9;0.1;20.6
Finse;SN25840;1978;6.8;0.3;18.3
Finse;SN25840;1979;5.9;-1.1;16
Finse;SN25840;1980;9;1.2;18.3
Finse;SN25840;1981;6.6;-0.1;17.6
NA;NA;1982;NA;NA;NA
Finse;SN25840;1983;6.8;-1.8;19.6
Finse;SN25840;1984;7.7;1.3;18
Finse;SN25840;1985;7.7;0.6;16.5
Finse;SN25840;1986;7.3;-0.1;21
Finse;SN25840;1987;7.1;0.3;19.1
Finse;SN25840;1988;8.1;2.9;16.4
Finse;SN25840;1989;6.5;-1.8;19.1
Finse;SN25840;1990;6.5;-0.2;18.2
Interpolated;NA;1991;10.4;NA;NA
Finse;SN25840;1992;5.9;-1.7;15.8
Finse;SN25840;1993;5.6;0;14.7
Interpolated;NA;1994;9.5;NA;NA
Interpolated;NA;1995;6.8;NA;NA
Interpolated;NA;1996;6.5;NA;NA
Interpolated;NA;1997;9.7;NA;NA
Interpolated;NA;1998;6.5;NA;NA
Interpolated;NA;1999;7.6;NA;NA
Interpolated;NA;2000;7.9;NA;NA
Interpolated;NA;2001;8.8;NA;NA
Interpolated;NA;2002;8.9;NA;NA
Finsevatn;SN25830;2003;10.6;1.7;20.6
Finsevatn;SN25830;2004;7.4;1;18.5
Interpolated;NA;2005;8.9;NA;NA
Finsevatn;SN25830;2006;11.5;1.5;20.7
Finsevatn;SN25830;2007;6.9;-0.1;16.9
Finsevatn;SN25830;2008;9.6;1.6;22.1
Finsevatn;SN25830;2009;9.1;3.8;19.6
Finsevatn;SN25830;2010;9.9;0.9;17
Finsevatn;SN25830;2011;10.5;2.4;19.1
Finsevatn;SN25830;2012;6.8;0.1;15.5
Finsevatn;SN25830;2013;9.6;0.3;20.3
Finsevatn;SN25830;2014;11.9;0.2;23.7
Finsevatn;SN25830;2015;5.6;-2.1;16.5
Finsevatn;SN25830;2016;8.1;1.1;19.4
Finsevatn;SN25830;2017;7.3;0;17.2
Finsevatn;SN25830;2018;12.6;4.2;22.9
Finsevatn;SN25830;2019;9.8;-1.1;23
Finsevatn;SN25830;2020;5;-3.7;17
Finsevatn;SN25830;2021;11.3;1.8;22.1
